"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 03:47:06 UTC 2024","Tue Jan 30 03:47:09 UTC 2024","2381","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Jan 30 03:46:57 UTC 2024","Tue Jan 30 03:47:06 UTC 2024","9573","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Jan 30 02:41:37 UTC 2024","Tue Jan 30 02:41:40 UTC 2024","2917","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Jan 30 03:11:55 UTC 2024","Tue Jan 30 03:12:07 UTC 2024","11285","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Jan 30 03:14:10 UTC 2024","Tue Jan 30 03:14:27 UTC 2024","17295","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Jan 30 03:29:00 UTC 2024","Tue Jan 30 03:29:03 UTC 2024","2734","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Jan 30 02:38:13 UTC 2024","Tue Jan 30 02:39:06 UTC 2024","53134","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Tue Jan 30 02:19:27 UTC 2024","Tue Jan 30 02:19:47 UTC 2024","20517","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jan 30 02:20:36 UTC 2024","Tue Jan 30 02:20:57 UTC 2024","21867","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Tue Jan 30 03:14:29 UTC 2024","Tue Jan 30 03:14:49 UTC 2024","19749","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Jan 30 02:20:57 UTC 2024","Tue Jan 30 02:21:06 UTC 2024","8528","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
